Setting,Scenario,Protocol,BottleneckMbps,BaseOwdMs,Flows,SinkPort,Goodput_Mbps,Util,Delay_ms,Jitter_ms,Loss_pct,Jain,Source
tcp_only,rdma_like_25g,TcpBbr,25000.0,0.002,3,49153/5000,21263.35,0.8505,0.0188,0.0001,0.0165,0.9967,comparison/rdma_like_25g_TcpBbr.flowmonitor
tcp_only,rdma_like_25g,TcpCubic,25000.0,0.002,3,49153/5000,21562.14,0.8625,0.0194,0.0002,0.0202,0.9983,comparison/rdma_like_25g_TcpCubic.flowmonitor
tcp_only,rdma_like_25g,TcpNewReno,25000.0,0.002,3,49153/5000,20806.99,0.8323,0.0183,0.0001,0.0103,0.9995,comparison/rdma_like_25g_TcpNewReno.flowmonitor
tcp_only,rdma_like_25g,TcpSwift,25000.0,0.002,3,49153/5000,22283.56,0.8913,0.0185,0.0001,0.0155,0.9997,comparison/rdma_like_25g_TcpSwift.flowmonitor
tcp_only,rdma_like_50g,TcpBbr,50000.0,0.002,3,49153/5000,42275.66,0.8455,0.0098,0.0001,0.0156,0.9992,comparison/rdma_like_50g_TcpBbr.flowmonitor
tcp_only,rdma_like_50g,TcpCubic,50000.0,0.002,3,49153/5000,43805.72,0.8761,0.0111,0.0,0.0223,1.0,comparison/rdma_like_50g_TcpCubic.flowmonitor
tcp_only,rdma_like_50g,TcpNewReno,50000.0,0.002,3,49153/5000,41408.81,0.8282,0.01,0.0001,0.0107,0.9982,comparison/rdma_like_50g_TcpNewReno.flowmonitor
tcp_only,rdma_like_50g,TcpSwift,50000.0,0.002,3,49153/5000,45542.73,0.9109,0.0099,0.0001,0.0141,0.9996,comparison/rdma_like_50g_TcpSwift.flowmonitor
tcp_only,satellite_geo,TcpBbr,10.0,320.0,3,49153/5000,8.28,0.8279,367.2213,4.2793,0.0216,0.9994,comparison/satellite_geo_TcpBbr.flowmonitor
tcp_only,satellite_geo,TcpCubic,10.0,320.0,3,49153/5000,8.43,0.843,378.9036,5.2887,0.0212,0.9903,comparison/satellite_geo_TcpCubic.flowmonitor
tcp_only,satellite_geo,TcpNewReno,10.0,320.0,3,49153/5000,8.17,0.8168,378.8589,4.272,0.0218,0.9987,comparison/satellite_geo_TcpNewReno.flowmonitor
tcp_only,satellite_geo,TcpSwift,10.0,320.0,3,49153/5000,8.78,0.8785,381.29,3.9248,0.0203,0.9968,comparison/satellite_geo_TcpSwift.flowmonitor
tcp_only,satellite_leo,TcpBbr,150.0,29.0,3,49153/5000,128.8,0.8587,32.0393,0.142,0.0259,0.9992,comparison/satellite_leo_TcpBbr.flowmonitor
tcp_only,satellite_leo,TcpCubic,150.0,29.0,3,49153/5000,128.2,0.8546,33.0177,0.1262,0.0153,0.993,comparison/satellite_leo_TcpCubic.flowmonitor
tcp_only,satellite_leo,TcpNewReno,150.0,29.0,3,49153/5000,127.43,0.8496,33.4088,0.1929,0.0224,0.9947,comparison/satellite_leo_TcpNewReno.flowmonitor
tcp_only,satellite_leo,TcpSwift,150.0,29.0,3,49153/5000,134.95,0.8996,33.2849,0.1332,0.0225,0.9978,comparison/satellite_leo_TcpSwift.flowmonitor
tcp_only,symmetric_low,TcpBbr,1000.0,0.03,3,49153/5000,886.5,0.8865,0.4958,0.006,0.0209,0.9997,comparison/symmetric_low_TcpBbr.flowmonitor
tcp_only,symmetric_low,TcpCubic,1000.0,0.03,3,49153/5000,886.5,0.8865,0.5029,0.0021,0.0225,0.9994,comparison/symmetric_low_TcpCubic.flowmonitor
tcp_only,symmetric_low,TcpNewReno,1000.0,0.03,3,49153/5000,886.5,0.8865,0.5385,0.0019,0.0202,0.9957,comparison/symmetric_low_TcpNewReno.flowmonitor
tcp_only,symmetric_low,TcpSwift,1000.0,0.03,3,49153/5000,904.99,0.905,0.5031,0.002,0.0209,0.9996,comparison/symmetric_low_TcpSwift.flowmonitor
tcp_only,wan_longhaul,TcpBbr,1000.0,26.0,3,49153/5000,829.04,0.829,26.3964,0.235,0.0121,0.9998,comparison/wan_longhaul_TcpBbr.flowmonitor
tcp_only,wan_longhaul,TcpCubic,1000.0,26.0,3,49153/5000,844.47,0.8445,26.6058,0.1847,0.021,0.9965,comparison/wan_longhaul_TcpCubic.flowmonitor
tcp_only,wan_longhaul,TcpNewReno,1000.0,26.0,3,49153/5000,830.25,0.8303,27.2659,0.1142,0.017,0.999,comparison/wan_longhaul_TcpNewReno.flowmonitor
tcp_only,wan_longhaul,TcpSwift,1000.0,26.0,3,49153/5000,881.24,0.8812,26.1603,0.1753,0.0159,0.9977,comparison/wan_longhaul_TcpSwift.flowmonitor
tcp_only,wan_metro,TcpBbr,1000.0,2.2,3,49153/5000,863.42,0.8634,2.6598,0.0271,0.0237,0.9989,comparison/wan_metro_TcpBbr.flowmonitor
tcp_only,wan_metro,TcpCubic,1000.0,2.2,3,49153/5000,860.35,0.8603,2.7151,0.0251,0.0227,0.9995,comparison/wan_metro_TcpCubic.flowmonitor
tcp_only,wan_metro,TcpNewReno,1000.0,2.2,3,49153/5000,844.36,0.8444,2.7965,0.0163,0.0115,0.9995,comparison/wan_metro_TcpNewReno.flowmonitor
tcp_only,wan_metro,TcpSwift,1000.0,2.2,3,49153/5000,909.37,0.9094,2.6549,0.0246,0.0205,1.0,comparison/wan_metro_TcpSwift.flowmonitor
tcp_only,wifi_ac,TcpBbr,400.0,7.0,3,49153/5000,325.68,0.8142,7.7681,0.0999,0.0168,0.9918,comparison/wifi_ac_TcpBbr.flowmonitor
tcp_only,wifi_ac,TcpCubic,400.0,7.0,3,49153/5000,332.05,0.8301,8.0509,0.0311,0.0142,0.999,comparison/wifi_ac_TcpCubic.flowmonitor
